race_date,place_code,race_no,tyaku,car_no,player_code,player_name,age,prefecture,sotugyouki,kyuhan,tyakusa,agari,kimarite,bh,in_line_jyuni,kojin_state,tyaku_note,tenki,husoku
2026-03-26,42,1,1,1,015578,飯田 風音,24,埼 玉,120,L1,,12.6,捲り,,,,,晴,1.0
2026-03-26,42,1,2,2,015679,又多 風緑,23,石 川,122,L1,1/4車輪,12.5,マーク,,,,,晴,1.0
2026-03-26,42,1,3,4,015763,山口 優依,31,愛 知,124,L1,3  車身,13.0,,,,,,晴,1.0
2026-03-26,42,1,4,3,015682,渡部 遥,23,愛 媛,122,L1,微差,13.1,,HB,,,,晴,1.0
2026-03-26,42,1,5,7,015593,中村 鈴花,24,熊 本,120,L1,1/2車身,12.9,,,,,,晴,1.0
2026-03-26,42,1,6,6,015591,松本 ちひろ,30,山 口,120,L1,3/4車輪,12.7,,,,,,晴,1.0
2026-03-26,42,1,7,5,015082,高橋 朋恵,31,東 京,108,L1,1車身1/2,12.9,,,,,,晴,1.0
2026-03-26,42,2,1,1,015219,梅川 風子,35,東 京,112,L1,,12.7,逃げ,B,,,,晴,0.8
2026-03-26,42,2,2,7,015494,近澤 諒香,25,三 重,118,L1,1車身1/2,12.8,マーク,,,,,晴,0.8
2026-03-26,42,2,3,2,015220,鈴木 美教,31,静 岡,112,L1,2  車身,12.6,,,,,,晴,0.8
2026-03-26,42,2,4,5,015313,豊岡 英子,45,大 阪,114,L1,1/2車身,12.8,,H,,,,晴,0.8
2026-03-26,42,2,5,4,015399,高木 佑真,27,神奈川,116,L1,1  車身,12.7,,,,,,晴,0.8
2026-03-26,42,2,6,6,015147,佐々木 恵理,36,愛 知,110,L1,3/4車身,12.6,,,,,,晴,0.8
2026-03-26,42,2,7,3,015755,神戸 暖稀羽,22,北海道,124,L1,2  車身,12.9,,,,,,晴,0.8
2026-03-26,42,3,1,1,014581,佐山 俊樹,36,埼 玉,97,A1,,12.2,差し,,,,,晴,0.8
2026-03-26,42,3,2,2,014026,高橋 成英,43,愛 知,89,A1,3/4車輪,12.0,マーク,,,,,晴,0.8
2026-03-26,42,3,3,3,013426,本村 隆文,47,岐 阜,81,A2,1/4車輪,11.8,,,,,,晴,0.8
2026-03-26,42,3,4,7,012971,小川 将人,50,愛 知,75,A2,1/8車輪,11.9,,,,,,晴,0.8
2026-03-26,42,3,5,5,013106,赤井 学,52,千 葉,77,A2,1/4車輪,12.4,,,,,,晴,0.8
2026-03-26,42,3,6,4,013710,榎本 光男,48,静 岡,85,A1,1  車輪,12.5,,HB,,,,晴,0.8
2026-03-26,42,3,7,6,012800,豊田 一馬,51,群 馬,73,A2,3  車身,12.0,,,,,,晴,0.8
2026-03-26,42,4,1,1,013775,鈴木 良太,48,静 岡,86,A2,,12.4,差し,,,,,晴,1.0
2026-03-26,42,4,2,6,015534,牛田 樹希斗,27,愛 知,119,A2,タイヤ差,12.2,捲り,,,,,晴,1.0
2026-03-26,42,4,3,3,013270,中川 貴史,49,三 重,79,A2,3/4車輪,12.1,,,,,,晴,1.0
2026-03-26,42,4,4,4,015806,山本 天平,28,千 葉,125,A2,1/2車輪,12.6,,HB,,,,晴,1.0
2026-03-26,42,4,4,5,014393,柴田 祐也,42,岐 阜,94,A2,1/2車輪,12.0,,,,,,晴,1.0
2026-03-26,42,4,6,2,011800,三住 博昭,57,神奈川,61,A1,1/2車輪,12.4,,,,,,晴,1.0
2026-03-26,42,4,7,7,012955,太田 真一,50,埼 玉,75,A2,大差,13.8,,,,,,晴,1.0
2026-03-26,42,5,1,1,013670,小橋 秀幸,47,青 森,85,A1,,12.1,差し,,,,,晴,0.5
2026-03-26,42,5,2,4,014032,藤田 真,44,兵 庫,89,A2,1/2車輪,12.4,差し,,,,,晴,0.5
2026-03-26,42,5,3,2,015618,高本 和也,28,神奈川,121,A1,3/4車輪,12.3,,,,,,晴,0.5
2026-03-26,42,5,4,5,014008,甲斐 康昭,41,群 馬,89,A2,1/8車輪,12.3,,,,,,晴,0.5
2026-03-26,42,5,5,6,013910,高橋 秀吉,42,秋 田,88,A1,3/4車身,12.1,,,,,,晴,0.5
2026-03-26,42,5,6,3,014947,北川 大五郎,34,大 阪,103,A1,1/8車輪,12.6,,B,,,,晴,0.5
2026-03-26,42,5,7,7,015257,舟山 佑京,28,新 潟,113,A2,3  車身,12.8,,H,,,,晴,0.5
2026-03-26,42,6,1,4,015783,吉田 優斗,26,岩 手,125,A2,,11.8,逃げ,HB,,,,晴,0.5
2026-03-26,42,6,2,2,014163,内田 英介,44,東 京,91,A1,タイヤ差,11.7,マーク,,,,,晴,0.5
2026-03-26,42,6,3,6,015107,田頭 寛之,37,千 葉,109,A1,1  車身,11.4,,,,,,晴,0.5
2026-03-26,42,6,4,7,014158,本間 慎吾,39,新 潟,91,A2,1/2車輪,11.7,,,,,,晴,0.5
2026-03-26,42,6,5,1,012688,佐藤 成人,52,奈 良,71,A1,1/4車輪,11.2,,,,,,晴,0.5
2026-03-26,42,6,6,3,013335,坂上 樹大,48,石 川,80,A1,3/4車身,11.1,,,,,,晴,0.5
2026-03-26,42,6,7,5,015108,吉田 篤史,37,奈 良,109,A2,3/4車輪,11.4,,,,,,晴,0.5
2026-03-26,42,7,1,1,015178,伊藤 稔真,29,三 重,111,A1,,11.8,差し,,,,,晴,0.3
2026-03-26,42,7,2,2,015821,志田 愛希飛,23,富 山,125,A2,1/4車輪,12.0,逃げ,B,,,,晴,0.3
2026-03-26,42,7,3,7,015275,伊藤 歩登,27,兵 庫,113,A1,1車身1/2,11.5,,,,,,晴,0.3
2026-03-26,42,7,4,3,015612,小榑 佑弥,26,群 馬,121,A1,3/4車身,11.8,,H,,,,晴,0.3
2026-03-26,42,7,5,4,014372,内田 玄希,45,東 京,94,A1,3  車身,11.8,,,,,,晴,0.3
2026-03-26,42,7,6,6,014758,中野 智公,36,和歌山,99,A2,1車身1/2,11.9,,,,,,晴,0.3
2026-03-26,42,7,7,5,013041,三浦 稔希,50,愛 知,76,A1,1  車輪,12.0,,,,,,晴,0.3
2026-03-26,44,1,1,4,014340,古川 貴之,42,佐 賀,93,A1,,12.1,差し,,,,,曇,1.0
2026-03-26,44,1,2,3,014556,小川 祐司,43,愛 媛,96,A2,1/2車輪,12.3,逃げ,HB,,,,曇,1.0
2026-03-26,44,1,3,2,014530,栗田 雄矢,40,静 岡,96,A2,1/2車身,11.8,,,,,,曇,1.0
2026-03-26,44,1,4,7,013575,渡会 啓介,49,愛 知,83,A2,タイヤ差,12.0,,,,,,曇,1.0
2026-03-26,44,1,5,5,013925,黒田 篤,46,栃 木,88,A2,1車身1/2,11.8,,,,,,曇,1.0
2026-03-26,44,1,6,1,015538,村瀬 大和,24,岐 阜,119,A2,1  車身,12.3,,,,,,曇,1.0
2026-03-26,44,1,7,6,014418,安部 龍文,41,大 分,94,A2,大差,13.1,,,,,,曇,1.0
2026-03-26,44,2,1,2,013493,立花 成泰,47,岡 山,82,A1,,12.1,差し,,,,,曇,1.0
2026-03-26,44,2,2,5,012760,櫻井 宏智,55,広 島,72,A2,3/4車輪,12.1,マーク,,,,,曇,1.0
2026-03-26,44,2,3,3,015929,鶴 淳志,25,福 岡,127,A2,1/4車輪,12.3,,HB,,,,曇,1.0
2026-03-26,44,2,4,7,014277,山口 慎吾,42,北海道,93,A2,1  車身,11.9,,,,,,曇,1.0
2026-03-26,44,2,5,4,014651,須永 勝太,35,福 島,98,A2,1/8車輪,12.0,,,,,,曇,1.0
2026-03-26,44,2,6,1,013384,金子 兼久,48,宮 城,81,A2,1車身1/2,11.9,,,,,,曇,1.0
2026-03-26,44,2,7,6,013179,飯島 淳,49,東 京,78,A2,2  車身,12.0,,,,,,曇,1.0
2026-03-26,44,3,1,1,015562,山本 浩成,27,福 岡,119,A1,,11.6,捲り,B,,,,曇,1.0
2026-03-26,44,3,2,4,014330,坂田 章,40,高 知,93,A1,3/4車輪,11.5,マーク,,,,,曇,1.0
2026-03-26,44,3,3,7,013716,佐藤 亙,46,愛 知,85,A1,2  車身,11.4,,,,,,曇,1.0
2026-03-26,44,3,4,5,015048,志佐 明,36,神奈川,107,A1,1/2車身,11.6,,,,,,曇,1.0
2026-03-26,44,3,5,6,012389,岡崎 昭次,54,愛 媛,67,A2,2  車身,11.5,,,,,,曇,1.0
2026-03-26,44,3,6,3,013760,矢口 啓一郎,45,群 馬,86,A1,1車身1/2,11.8,,,,,,曇,1.0
2026-03-26,44,3,7,2,014869,泉谷 元樹,37,愛 知,101,A1,4  車身,12.2,,H,,,,曇,1.0
2026-03-26,44,4,1,1,015633,中釜 健次,27,大 阪,121,A1,,11.7,捲り,B,,,,曇,0.5
2026-03-26,44,4,2,7,014597,上田 隼,36,岐 阜,97,A1,1  車身,11.6,マーク,,,,,曇,0.5
2026-03-26,44,4,3,2,015565,入江 航太,24,熊 本,119,A2,1/2車身,11.7,,,,,,曇,0.5
2026-03-26,44,4,4,3,013748,佐々木 省司,48,青 森,86,A1,3/4車身,11.6,,,,,,曇,0.5
2026-03-26,44,4,5,6,014813,新井 僚太郎,34,山 梨,100,A2,1車身1/2,11.6,,,,,,曇,0.5
2026-03-26,44,4,6,4,014495,下沖 功児,42,宮 崎,95,A1,1/8車輪,12.1,,H,,,,曇,0.5
2026-03-26,44,4,7,5,014797,佐々木 吉徳,38,秋 田,100,A1,2  車身,12.0,,,,,,曇,0.5
2026-03-26,44,5,1,3,014941,江端 隆司,33,福 井,103,A2,,11.4,捲り,,,,,曇,0.8
2026-03-26,44,5,2,7,015712,松本 京太,27,静 岡,123,A1,1/2車身,11.6,逃げ,HB,,,,曇,0.8
2026-03-26,44,5,3,1,014452,長井 優斗,38,東 京,95,A1,1/4車輪,11.5,,,,,,曇,0.8
2026-03-26,44,5,4,5,014091,伊原 弘幸,41,福 井,90,A1,1/2車身,11.4,,,,,,曇,0.8
2026-03-26,44,5,5,2,015060,滝本 泰行,30,岡 山,107,A1,1/4車輪,11.1,,,,,,曇,0.8
2026-03-26,44,5,6,4,014954,日野 博幸,42,愛 媛,103,A1,3/4車輪,11.2,,,,,,曇,0.8
2026-03-26,44,5,7,6,012326,國武 耕二,56,佐 賀,66,A2,1車身1/2,11.1,,,,,,曇,0.8
2026-03-26,44,6,1,1,014817,佐藤 壮,34,千 葉,100,S2,,11.5,差し,,,,,曇,1.0
2026-03-26,44,6,2,6,013295,佐々木 則幸,49,高 知,79,S2,1/8車輪,11.4,差し,,,,,曇,1.0
2026-03-26,44,6,3,5,015176,望月 一成,29,静 岡,111,S2,1/2車身,11.7,,HB,,,,曇,1.0
2026-03-26,44,6,4,3,014786,本郷 雄三,37,熊 本,99,S2,1/2車輪,11.3,,,,,,曇,1.0
2026-03-26,44,6,5,4,012895,小嶋 敬二,56,石 川,74,S2,1  車身,11.6,,,,,,曇,1.0
2026-03-26,44,6,6,2,015648,森本 桂太郎,27,愛 媛,121,S2,3  車身,12.0,,,,,,曇,1.0
2026-03-26,44,7,1,4,015236,藤根 俊貴,31,岩 手,113,S2,,11.4,捲り,,,,,曇,1.0
2026-03-26,44,7,2,2,014232,柴田 洋輔,40,東 京,92,S2,3/4車身,11.3,マーク,,,,,曇,1.0
2026-03-26,44,7,3,6,013618,櫻井 学,46,群 馬,84,S2,3/4車身,11.3,,,,,,曇,1.0
2026-03-26,44,7,4,1,015276,佐伯 亮輔,31,岡 山,113,S2,1/4車輪,11.7,,HB,,,,曇,1.0
2026-03-26,44,7,5,5,013824,上吹越 直樹,44,鹿児島,86,S2,1/2車輪,11.6,,,,,,曇,1.0
2026-03-26,44,7,6,7,015005,野口 正則,35,奈 良,105,S2,3  車身,11.5,,,,,,曇,1.0
2026-03-26,44,7,7,3,015539,上杉 嘉槻,27,福 井,119,S2,大差,13.8,,,,,,曇,1.0
2026-03-26,44,8,1,3,013242,尾崎 剛,49,埼 玉,79,S2,,11.3,差し,,,,,曇,1.0
2026-03-26,44,8,2,5,013912,金成 和幸,47,福 島,88,S2,1/4車輪,11.1,マーク,,,,,曇,1.0
2026-03-26,44,8,3,7,015604,安彦 統賀,27,埼 玉,121,S2,1/2車輪,11.4,,HB,,,,曇,1.0
2026-03-26,44,8,4,6,015536,疋田 力也,24,愛 知,119,S2,1/2車身,11.0,,,,,,曇,1.0
2026-03-26,44,8,5,2,015552,上野 雅彦,24,香 川,119,S2,3/4車身,10.8,,,,,,曇,1.0
2026-03-26,44,8,6,1,013199,北野 武史,53,石 川,78,S2,1  車身,11.0,,,,,,曇,1.0
2026-03-26,44,8,7,4,015375,村上 竜馬,30,広 島,115,S2,2  車身,11.0,,,,,,曇,1.0
2026-03-26,44,9,1,6,015572,田村 大,27,宮 崎,119,S2,,11.5,逃げ,HB,,,,晴,1.0
2026-03-26,44,9,2,1,015041,伊藤 慶太郎,32,埼 玉,107,S2,微差,11.4,マーク,,,,,晴,1.0
2026-03-26,44,9,3,7,012813,成清 貴之,52,千 葉,73,S2,1  車身,11.3,,,,,,晴,1.0
2026-03-26,44,9,4,4,013410,伊勢崎 彰大,47,千 葉,81,S2,1車身1/2,11.3,,,,,,晴,1.0
2026-03-26,44,9,5,5,015541,石塚 慶一郎,24,和歌山,119,S2,1/4車輪,11.4,,,,,,晴,1.0
2026-03-26,44,9,6,2,014881,山崎 泰己,36,岡 山,101,S2,1車身1/2,11.7,,,,,,晴,1.0
2026-03-26,44,9,7,3,014946,元砂 勇雪,34,奈 良,103,S2,3/4車身,11.5,,,,,,晴,1.0
2026-03-26,44,10,1,5,015778,小堀 敢太,25,北海道,125,S2,,10.8,捲り,,,,,晴,1.0
2026-03-26,44,10,2,2,014804,横山 尚則,34,茨 城,100,S1,6  車身,11.3,マーク,,,,,晴,1.0
2026-03-26,44,10,3,1,014939,長尾 拳太,32,岐 阜,103,S1,1/2車身,11.5,,,,,,晴,1.0
2026-03-26,44,10,4,3,014177,小堺 浩二,43,石 川,91,S2,1/2車輪,11.4,,,,,,晴,1.0
2026-03-26,44,10,5,4,015342,福田 滉,26,栃 木,115,S2,3/4車身,11.2,,,,,,晴,1.0
2026-03-26,44,10,6,7,015450,長谷部 龍一,29,岐 阜,117,S2,1/4車輪,11.7,,HB,,,,晴,1.0
2026-03-26,44,10,7,6,014465,村上 直久,44,神奈川,95,S2,大差,12.5,,,,,,晴,1.0
2026-03-26,44,11,1,1,015444,渡邉 雅也,25,静 岡,117,S1,,12.0,捲り,,,,,晴,1.5
2026-03-26,44,11,2,6,015826,久田 朔,22,大 阪,125,S2,1/2車身,12.1,逃げ,HB,,,,晴,1.5
2026-03-26,44,11,3,2,014545,岡崎 智哉,40,大 阪,96,S1,1/2車輪,12.0,,,,,,晴,1.5
2026-03-26,44,11,4,5,015132,瓜生 崇智,31,熊 本,109,S2,1/2車輪,12.0,,,,,,晴,1.5
2026-03-26,44,11,5,3,014588,柿澤 大貴,36,長 野,97,S1,1/4車輪,12.0,,,,,,晴,1.5
2026-03-26,44,11,6,7,014004,松永 将,45,茨 城,89,S2,1/2車身,11.9,,,,,,晴,1.5
2026-03-26,44,11,7,4,014350,佐藤 雅春,38,宮 城,94,S2,2  車身,11.9,,,,,,晴,1.5
2026-03-26,44,12,1,7,012596,志智 俊夫,53,岐 阜,70,S1,,11.3,差し,,,,,晴,1.5
2026-03-26,44,12,2,1,015203,松本 貴治,32,愛 媛,111,S1,1/4車輪,11.4,差し,H,,,,晴,1.5
2026-03-26,44,12,3,6,015891,野中 龍之介,24,神奈川,127,S2,3/4車身,11.7,,B,,,,晴,1.5
2026-03-26,44,12,4,3,014076,志村 太賀,42,山 梨,90,S2,1  車身,11.4,,,,,,晴,1.5
2026-03-26,44,12,5,5,015162,蕗澤 鴻太郎,30,群 馬,111,S2,1  車輪,11.5,,,,,,晴,1.5
2026-03-26,44,12,6,2,013900,大森 慶一,44,北海道,88,S1,1/2車身,11.5,,,,,,晴,1.5
2026-03-26,44,12,7,4,013719,吉田 敏洋,46,愛 知,85,S2,1  車身,11.6,,,,,,晴,1.5
2026-03-26,56,1,1,1,015672,松本 詩乃,27,東 京,122,L1,,12.5,捲り,B,,,,曇,0.9
2026-03-26,56,1,2,2,015584,西脇 美唯奈,24,愛 知,120,L1,1/2車身,12.5,逃げ,H,,,,曇,0.9
2026-03-26,56,1,3,3,015149,中野 咲,29,愛 知,110,L1,3/4車身,12.4,,,,,,曇,0.9
2026-03-26,56,1,4,4,015674,野寺 楓,27,静 岡,122,L1,3/4車身,12.4,,,,,,曇,0.9
2026-03-26,56,1,5,6,015776,高本 美穂,23,熊 本,124,L1,1/2車輪,12.3,,,,,,曇,0.9
2026-03-26,56,1,6,5,015954,北津留 千羽,20,福 岡,128,L1,1/2車輪,12.1,,,,,,曇,0.9
2026-03-26,56,1,7,7,015767,木下 宙,23,大 阪,124,L1,3  車身,12.2,,,,,,曇,0.9
2026-03-26,56,2,1,1,015070,尾崎 睦,40,神奈川,108,L1,,12.6,捲り,,,,,晴,0.9
2026-03-26,56,2,2,3,015410,村田 奈穂,34,熊 本,116,L1,1/2車輪,12.3,捲り,,,,,晴,0.9
2026-03-26,56,2,3,2,015406,吉岡 詩織,31,広 島,116,L1,3/4車輪,12.7,,HB,,,,晴,0.9
2026-03-26,56,2,4,4,015150,宮地 寧々,30,岐 阜,110,L1,1/2車身,12.6,,,,,,晴,0.9
2026-03-26,56,2,5,6,015759,星野 しほ,26,東 京,124,L1,3/4車輪,12.7,,,,,,晴,0.9
2026-03-26,56,2,6,5,015951,今西 瑠花,23,大 阪,128,L1,1車身1/2,12.4,,,,,,晴,0.9
2026-03-26,56,2,7,7,014925,大和 久保美,34,青 森,102,L1,1  車身,12.6,,,,,,晴,0.9
2026-03-26,56,3,1,7,015163,戸塚 涼介,32,埼 玉,111,A2,,12.2,逃げ,HB,,,,晴,1.3
2026-03-26,56,3,2,3,014980,田原 宥明,35,北海道,105,A1,3/4車身,12.1,捲り,,,,,晴,1.3
2026-03-26,56,3,3,4,013792,辰己 豊,47,奈 良,86,A2,3/4車輪,11.5,,,,,,晴,1.3
2026-03-26,56,3,4,2,013417,梅原 大治,49,静 岡,81,A2,微差,12.0,,,,,,晴,1.3
2026-03-26,56,3,5,5,014464,中西 司,44,神奈川,95,A2,1/8車輪,11.9,,,,,,晴,1.3
2026-03-26,56,3,6,1,014153,伊藤 太一,43,山 梨,91,A2,3/4車身,12.3,,,,,,晴,1.3
2026-03-26,56,3,7,6,014755,奥出 健士郎,37,福 井,99,A2,1車身1/2,11.9,,,,,,晴,1.3
2026-03-26,56,4,1,3,014477,白上 翔,37,滋 賀,95,A1,,11.6,捲り,B,,,,晴,0.1
2026-03-26,56,4,2,4,015084,菅田 謙仁,33,宮 城,109,A2,4  車身,11.7,逃げ,H,,,,晴,0.1
2026-03-26,56,4,3,2,014070,秋葉 大輔,43,東 京,90,A2,3/4車身,11.7,,,,,,晴,0.1
2026-03-26,56,4,4,5,012960,水書 義弘,52,千 葉,75,A1,1車身1/2,11.6,,,,,,晴,0.1
2026-03-26,56,4,5,1,015001,堀 兼壽,31,岐 阜,105,A1,3/4車輪,11.6,,,,,,晴,0.1
2026-03-26,56,4,6,6,014171,深見 仁哉,43,愛 知,91,A2,1車身1/2,11.6,,,,,,晴,0.1
2026-03-26,56,4,7,7,015110,小出 慎也,34,和歌山,109,A2,2  車身,12.0,,,,,,晴,0.1
2026-03-26,56,5,1,1,014248,吉川 起也,42,富 山,92,A1,,11.6,捲り,,,,,晴,0.1
2026-03-26,56,5,2,6,014805,吉田 元輝,39,茨 城,100,A2,1車身1/2,11.8,差し,,,,,晴,0.1
2026-03-26,56,5,3,4,014161,藤田 大輔,41,千 葉,91,A1,3/4車身,12.0,,,,,,晴,0.1
2026-03-26,56,5,4,5,015820,岩元 叶馬,23,富 山,125,A2,1/8車輪,12.1,,HB,,,,晴,0.1
2026-03-26,56,5,5,7,012891,朝日 勇,51,愛 知,74,A2,3/4車身,11.8,,,,,,晴,0.1
2026-03-26,56,5,6,2,013188,山田 幸司,54,神奈川,78,A1,1/2車身,11.9,,,,,,晴,0.1
2026-03-26,56,5,7,3,015781,齊藤 英伊須,22,青 森,125,A2,1  車身,11.8,,,,,,晴,0.1
2026-03-26,56,6,1,1,015366,張野 幸聖,26,和歌山,115,A1,,11.7,捲り,,,,,晴,0.4
2026-03-26,56,6,2,4,015114,谷口 友真,36,大 阪,109,A1,1/2車輪,11.6,マーク,,,,,晴,0.4
2026-03-26,56,6,3,3,013538,小林 圭介,49,茨 城,83,A1,1  車身,11.7,,,,,,晴,0.4
2026-03-26,56,6,4,2,014310,三谷 政史,43,奈 良,93,A1,1/4車輪,11.6,,,,,,晴,0.4
2026-03-26,56,6,5,6,014459,根藤 浩二,39,千 葉,95,A2,1車身1/2,11.8,,,,,,晴,0.4
2026-03-26,56,6,6,5,014859,小林 申太,42,茨 城,101,A1,1/2車身,12.1,,HB,,,,晴,0.4
2026-03-26,56,6,7,7,012963,荻野 哲,51,神奈川,75,A2,3  車身,12.0,,,,,,晴,0.4
2026-03-26,56,7,1,1,015527,北井 佑季,36,神奈川,119,A1,,12.1,逃げ,B,,,,晴,0.1
2026-03-26,56,7,2,3,014132,三澤 康人,41,宮 城,91,A1,1  車身,12.0,マーク,,,,,晴,0.1
2026-03-26,56,7,3,2,014672,吉田 茂生,35,岐 阜,98,A1,1/2車身,11.9,,,,,,晴,0.1
2026-03-26,56,7,4,4,013571,小林 信晴,47,愛 知,83,A1,1  車身,11.8,,,,,,晴,0.1
2026-03-26,56,7,5,5,014157,原田 泰志,39,新 潟,91,A1,2  車身,12.0,,,,,,晴,0.1
2026-03-26,56,7,6,7,013979,竹内 優也,45,北海道,89,A2,1/2車身,11.9,,,,,,晴,0.1
2026-03-26,56,7,7,6,015247,小玉 勇一,31,埼 玉,113,A1,大差,13.7,,H,,,,晴,0.1
2026-03-26,81,1,1,1,015743,丸林 駿太,24,福 岡,123,A3,,12.4,逃げ,HB,,,,晴,0.0
2026-03-26,81,1,2,4,012847,古閑 良介,52,福 岡,73,A3,3/4車身,12.3,差し,,,,,晴,0.0
2026-03-26,81,1,3,3,012827,光岡 義洋,52,愛 知,73,A3,1  車輪,12.3,,,,,,晴,0.0
2026-03-26,81,1,4,2,012982,上原 直樹,52,岡 山,75,A3,1/2車身,12.1,,,,,,晴,0.0
2026-03-26,81,1,5,7,011328,川添 輝彦,61,沖 縄,56,A3,3/4車身,12.3,,,,,,晴,0.0
2026-03-26,81,1,6,5,015912,安達 豪太,33,兵 庫,127,A3,3/4車輪,12.6,,,,,,晴,0.0
2026-03-26,81,1,7,6,014550,龍門 慎太郎,40,岡 山,96,A3,1/8車輪,12.1,,,,,,晴,0.0
2026-03-26,81,2,1,1,014489,高鍋 邦彰,39,福 岡,95,A3,,12.3,差し,,,,,晴,0.0
2026-03-26,81,2,2,3,015933,山本 康旗,25,大 分,127,A3,3/4車輪,12.4,逃げ,HB,,,,晴,0.0
2026-03-26,81,2,3,4,015111,布居 翼,29,和歌山,109,A3,1  車輪,12.2,,,,,,晴,0.0
2026-03-26,81,2,4,2,012603,大川 栄二,53,和歌山,70,A3,3/4車輪,12.0,,,,,,晴,0.0
2026-03-26,81,2,5,5,013781,服部 正継,47,岐 阜,86,A3,1  車身,12.0,,,,,,晴,0.0
2026-03-26,81,2,6,6,011741,澤亀 浩司,58,福 岡,60,A3,3  車身,12.1,,,,,,晴,0.0
2026-03-26,81,2,7,7,011382,清水 広幸,59,愛 知,57,A3,大差,,,,,,,晴,0.0
2026-03-26,81,3,1,7,014610,山村 慮太,39,大 阪,97,A3,,11.9,差し,,,,,晴,0.0
2026-03-26,81,3,2,2,015906,林 佳宗依,24,富 山,127,A3,1/2車輪,12.1,逃げ,HB,,,,晴,0.0
2026-03-26,81,3,3,1,012216,武田 哲二,55,京 都,65,A3,1/2車輪,12.1,,,,,,晴,0.0
2026-03-26,81,3,4,5,014351,田口 守,37,山 口,94,A3,1  車身,12.0,,,,,,晴,0.0
2026-03-26,81,3,5,3,014490,永田 隼一,45,福 岡,95,A3,1/8車輪,11.9,,,,,,晴,0.0
2026-03-26,81,3,6,6,013588,齋藤 仁,46,徳 島,83,A3,1  車身,11.9,,,,,,晴,0.0
2026-03-26,81,3,7,4,014042,徳吉 正治,42,福 岡,89,A3,1  車身,11.9,,,,,,晴,0.0
2026-03-26,81,4,1,2,015916,小西 涼太,24,岡 山,127,A3,,12.2,捲り,H,,,,晴,0.0
2026-03-26,81,4,2,6,015188,浜田 翔平,36,大 阪,111,A3,1  車身,12.3,逃げ,B,,,,晴,0.0
2026-03-26,81,4,3,4,013375,五反田 豊和,48,宮 崎,80,A3,4  車身,12.3,,,,,,晴,0.0
2026-03-26,81,4,4,1,013358,行成 大祐,50,香 川,80,A3,タイヤ差,12.4,,,,,,晴,0.0
2026-03-26,81,4,5,5,013972,富永 昌久,45,佐 賀,88,A3,1  車輪,11.9,,,,,,晴,0.0
2026-03-26,81,4,6,3,013965,岡田 雅也,46,高 知,88,A3,3/4車輪,12.2,,,,,,晴,0.0
2026-03-26,81,4,7,7,011715,黒木 誠一,58,兵 庫,60,A3,大差,14.0,,,,,,晴,0.0
2026-03-26,81,5,1,5,014314,中川 繁樹,39,京 都,93,A1,,12.1,逃げ,HB,,,,晴,0.0
2026-03-26,81,5,2,4,014402,泉谷 直哉,43,兵 庫,94,A1,1/2車輪,12.1,マーク,,,,,晴,0.0
2026-03-26,81,5,3,7,013817,吉川 裕二,44,大 分,86,A2,1/2車身,11.7,,,,,,晴,0.0
2026-03-26,81,5,4,1,015561,原井 剣也,32,福 岡,119,A1,1/2車身,12.0,,,,,,晴,0.0
2026-03-26,81,5,5,3,014638,川又 裕樹,40,鹿児島,97,A1,1/2車身,11.9,,,,,,晴,0.0
2026-03-26,81,5,6,2,013652,隅 直幸,47,山 口,84,A1,1  車身,11.8,,,,,,晴,0.0
2026-03-26,81,5,7,6,014885,戸田 康平,33,香 川,101,A2,7  車身,12.7,,,,,,晴,0.0
2026-03-26,81,6,1,2,015266,福田 真平,38,愛 知,113,A1,,11.8,差し,,,,,晴,0.0
2026-03-26,81,6,2,1,014473,重倉 高史,40,富 山,95,A1,1  車輪,11.9,逃げ,HB,,,,晴,0.0
2026-03-26,81,6,3,4,014843,峰重 祐之介,36,岡 山,100,A2,1/2車身,11.8,,,,,,晴,0.0
2026-03-26,81,6,4,3,013811,池田 浩士,47,佐 賀,86,A1,1/2車身,11.7,,,,,,晴,0.0
2026-03-26,81,6,5,5,014115,原田 礼,45,福 岡,90,A2,3/4車身,11.7,,,,,,晴,0.0
2026-03-26,81,6,6,6,011417,小川 巧,59,岡 山,57,A2,1/8車輪,11.8,,,,,,晴,0.0
2026-03-26,81,6,7,7,015563,久保 光司,28,佐 賀,119,A2,4  車身,12.3,,,,,,晴,0.0
2026-03-26,81,7,1,2,015833,野村 賢,22,山 口,125,A2,,12.0,差し,H,,,,晴,0.0
2026-03-26,81,7,2,6,015908,川村 峻輝,24,京 都,127,A2,3/4車輪,12.2,逃げ,B,,,,晴,0.0
2026-03-26,81,7,3,1,013353,吉永 好宏,51,広 島,80,A1,タイヤ差,11.9,,,,,,晴,0.0
2026-03-26,81,7,4,5,012845,林 成人,53,愛 媛,73,A2,1  車輪,11.8,,,,,,晴,0.0
2026-03-26,81,7,5,4,014625,藤野 貴章,37,佐 賀,97,A2,1/2車身,11.8,,,,,,晴,0.0
2026-03-26,81,7,6,7,013370,三槻 智清,49,佐 賀,80,A2,1  車身,11.8,,,,,,晴,0.0
2026-03-26,81,7,7,3,013729,堺 文人,46,和歌山,85,A2,2  車身,11.8,,,,,,晴,0.0
2026-03-26,81,8,1,1,015902,安達 光伸,24,岐 阜,127,A2,,11.6,逃げ,HB,,,,晴,0.0
